sigma,run,correlation,gini,top10_overlap
0.5,43,0.5341341849662953,0.7381194518780222,0.585
0.5,44,0.43315730050325796,0.741726649479153,0.565
0.5,45,0.3759125702415282,0.7620009869609745,0.595
0.5,46,0.5044387841576725,0.7376176588730723,0.595
0.5,47,0.30913013432125624,0.7618975081120912,0.63
0.5,48,0.5014397757554563,0.7240377892842541,0.61
0.5,49,0.47397048642104256,0.7458473569687752,0.63
1,0,0.5226716298992531,0.6321262399388482,0.54
1,1,0.40698397305802886,0.6513933898193074,0.535
1,2,0.42150881934356654,0.6543810688967319,0.555
1,3,0.44085042183828643,0.648412780957793,0.525
1,4,0.47680545770544097,0.6329331359699728,0.515
1,5,0.5155947435252967,0.6140842836359403,0.53
1,6,0.4758097723660007,0.6484084185042719,0.535
1,7,0.4501682702647629,0.6385751963761677,0.575
1,8,0.4155350744210588,0.6613950957646343,0.525
1,9,0.37421218242226495,0.6691016114048356,0.575
1,10,0.4431956568138336,0.6389711399104597,0.535
1,11,0.4469810622690825,0.6383228749292114,0.555
1,12,0.43903646327960144,0.648096415669203,0.525
1,13,0.5383436015730992,0.63569069313787,0.545
1,14,0.4809251134133088,0.6389465520700092,0.505
1,15,0.43583333364165705,0.6506083710162605,0.465
1,16,0.3200332445127495,0.6535809803849579,0.54
1,17,0.4402811157512045,0.6305464273888732,0.48
1,18,0.4365668630397865,0.6430015427122484,0.545
1,19,0.46533540148895597,0.6515273726069017,0.575
1,20,0.3613373602004106,0.6712878972030271,0.58
1,21,0.4760393466159781,0.6439023096724974,0.555
1,22,0.4190872768502326,0.6485398175857132,0.555
1,23,0.4107755058967256,0.6513083745741426,0.5
1,24,0.39113099034822024,0.6546241145407233,0.48
1,25,0.39182878104127916,0.644053906264229,0.535
1,26,0.4610848713350626,0.6498917782423399,0.53
1,27,0.37601809307808537,0.648213890220339,0.525
1,28,0.43704082835162006,0.6287921761939331,0.52
1,29,0.2772496929993748,0.6609990577528891,0.555
1,30,0.4811417723745297,0.6452792106530312,0.58
1,31,0.4525699274937029,0.6485832269311508,0.54
1,32,0.5034082700908495,0.6287664568065201,0.475
1,33,0.5060540971510145,0.6246796441323385,0.53
1,34,0.4354625091055583,0.6459488127723035,0.485
1,35,0.3300530713761707,0.6604636522685478,0.49
1,36,0.38996996061250877,0.6549806638890922,0.53
1,37,0.4281832130394406,0.6528013262419393,0.515
1,38,0.3684201656564117,0.6562964649612268,0.48
1,39,0.3055207543781555,0.6556967200947464,0.55
1,40,0.4474656298633665,0.6465514710296993,0.555
1,41,0.32683670137835086,0.668030142614231,0.545
1,42,0.4126080129444962,0.6550116659439595,0.48
1,43,0.38724047762400005,0.6485250497319089,0.56
1,44,0.4476241348702799,0.6557586442450476,0.54
1,45,0.36897824992671735,0.6503237321508497,0.56
1,46,0.5009189998520985,0.630816817174111,0.51
1,47,0.36939094445435483,0.6487695466351585,0.51
1,48,0.4571592966034996,0.6437747737308344,0.525
1,49,0.429015043487769,0.6502968170733887,0.525
1.25,0,0.3285855510251351,0.6072470236783438,0.47
1.25,1,0.38409958013824796,0.6070833525496084,0.475
1.25,2,0.41497513607016867,0.6164384669982422,0.535
1.25,3,0.3497884245639864,0.600184689084841,0.49
1.25,4,0.33772828474515554,0.6038963831407851,0.47
1.25,5,0.4854272205354963,0.5804428239418864,0.505
1.25,6,0.3982478418835392,0.5982457765258355,0.48
1.25,7,0.4559455004620661,0.5962567212953251,0.5
1.25,8,0.4716703989983728,0.5949993460643609,0.515
1.25,9,0.3869505392595908,0.610418997025093,0.45
1.25,10,0.4070952049973551,0.6046979532709712,0.49
1.25,11,0.4445755897938448,0.5977965350740977,0.47
1.25,12,0.43742379224621786,0.5966103151183576,0.495
1.25,13,0.46490139601130015,0.5916755193517003,0.515
1.25,14,0.38133526206384677,0.6172421259186301,0.485
1.25,15,0.4512601709419792,0.606622661188791,0.515
1.25,16,0.4793652456785444,0.5892685373408237,0.47
1.25,17,0.44940613980619853,0.5816271091557049,0.48
1.25,18,0.3734765805469382,0.6150124013465837,0.51
1.25,19,0.4650101515742068,0.5965309587697718,0.51
1.25,20,0.40917372536296376,0.6218721375781163,0.51
1.25,21,0.32139043650100596,0.624763719728851,0.51
1.25,22,0.35621120217038793,0.6069197814209071,0.455
1.25,23,0.3949484997286513,0.5982065554142586,0.46
1.25,24,0.4420240949190946,0.596018701589629,0.515
1.25,25,0.4517780815296313,0.6093685587398346,0.47
1.25,26,0.36471242544270144,0.6115039423863982,0.54
1.25,27,0.3897452015574807,0.5863152667130722,0.45
1.25,28,0.27031802122088355,0.6380141190615786,0.49
1.25,29,0.47430712284771853,0.596453279524007,0.505
1.25,30,0.3753762817992651,0.6235114296324897,0.45
1.25,31,0.37397100436745534,0.6282373925680302,0.52
1.25,32,0.4136340239397313,0.6001969545673399,0.46
1.25,33,0.4446577483113796,0.6042235093090862,0.505
1.25,34,0.32788269832952294,0.6275700793780286,0.485
1.25,35,0.45576584507638257,0.5954532390556033,0.505
1.25,36,0.3886491717854219,0.613277014772644,0.49
1.25,37,0.3283733047549002,0.6077692609949876,0.49
1.25,38,0.4579202590494848,0.5860837320799508,0.49
1.25,39,0.2780452205636727,0.6304978161864337,0.505
1.25,40,0.37411302647482053,0.6192595842090471,0.465
1.25,41,0.39218807453072874,0.6160308927781873,0.49
1.25,42,0.4276038272240573,0.5949166057221167,0.505
1.25,43,0.4117486156668935,0.6147852074530155,0.485
1.25,44,0.4352400696390608,0.6102679873386266,0.505
1.25,45,0.4272112391265673,0.6029491529169672,0.47
1.25,46,0.4116350336476756,0.6165071895444769,0.535
1.25,47,0.4075361493897703,0.5978514753042925,0.45
1.25,48,0.3560178177620165,0.5938380424825316,0.475
