sigma,run,correlation,gini,top10_overlap
0.25,1,0.7997044004248428,0.7065038277358594,0.78
0.25,2,0.8058614091248825,0.7254027633749672,0.74
0.25,3,0.787821758965621,0.7132397410987152,0.745
0.25,4,0.7962320326606221,0.7252740919144168,0.75
0.25,5,0.808180408801171,0.7085109983971118,0.74
0.25,6,0.7920466419284841,0.7161237703749528,0.73
0.25,7,0.7965555235822902,0.7032727446034942,0.755
0.25,8,0.7888132057706339,0.7155573509244136,0.72
0.25,9,0.7902910960769036,0.6966781306591382,0.765
0.25,10,0.8022001226344351,0.7187469838536475,0.74
0.25,11,0.8056647366605402,0.709901066382028,0.76
0.25,12,0.7840270181582559,0.7221286976437249,0.74
0.25,13,0.7992953504532451,0.7161957897808331,0.735
0.25,14,0.7939130648228842,0.725361583052253,0.76
0.25,15,0.7910837734871072,0.7315415992323071,0.785
0.25,16,0.7973696871943791,0.7079041978449135,0.77
0.25,17,0.7990497356145229,0.7175000298815458,0.745
0.25,18,0.8029503840810301,0.712431751261684,0.765
0.25,19,0.7875673485666548,0.713093121098843,0.765
0.25,20,0.7928326704134337,0.7193619523871366,0.73
0.25,21,0.8018020150026604,0.7269348176004132,0.73
0.25,22,0.8010189631003696,0.7159055914785991,0.76
0.25,23,0.7967792793435637,0.7021801750305225,0.725
0.25,24,0.7926842039730325,0.7140704790324562,0.765
0.25,25,0.7922960036679818,0.7291399607715068,0.76
0.25,26,0.8075673630513406,0.7157557294614172,0.815
0.25,27,0.7938282551224379,0.7137395327801773,0.78
0.25,28,0.7851145385845602,0.7159145528902128,0.755
0.25,29,0.8098708316582539,0.7098269001350381,0.735
0.25,30,0.7942787935295721,0.7189793589133615,0.78
0.25,31,0.7994124549241463,0.7145236499408489,0.75
0.25,32,0.7959592724369191,0.7247278173990387,0.73
0.25,33,0.7984477132638325,0.7259675196182022,0.73
0.25,34,0.7903339669388507,0.725946900361572,0.78
0.25,35,0.8023737105946223,0.7091612511351049,0.74
0.25,36,0.8038030102144494,0.7231462070242992,0.785
0.25,37,0.8016320135256968,0.7185364678048305,0.755
0.25,38,0.7866112755121888,0.726134826628723,0.765
0.25,39,0.7915241381917,0.7169192561497549,0.735
0.25,40,0.8015283161929592,0.7130125525307383,0.735
0.25,41,0.8005049697276526,0.7149494741130414,0.775
0.25,42,0.802291247936838,0.7192598669382653,0.705
0.25,43,0.8072380310106708,0.6988813368629575,0.72
0.25,44,0.7988691520987014,0.7132981436436818,0.765
0.25,45,0.8010675075664826,0.7185556513673337,0.725
0.25,46,0.804005761053716,0.7153801517947395,0.78
0.25,47,0.7968020156590748,0.7024934306202097,0.74
0.25,48,0.7879920695003646,0.7170214350839904,0.78
0.25,49,0.802135072808407,0.7028266152732003,0.72
0.5,0,0.8248270723680347,0.6578514726802017,0.78
0.5,1,0.8191880124917706,0.6592525459974606,0.735
0.5,2,0.8270684677707533,0.6480468122454319,0.73
0.5,3,0.8053074939447286,0.6615605547830868,0.715
0.5,4,0.817596426385852,0.65421340293365,0.75
0.5,5,0.8134428150916148,0.6623581217746259,0.75
0.5,6,0.8242829051220795,0.659772867073101,0.74
0.5,7,0.8234592814049397,0.6630361780524442,0.75
0.5,8,0.8091350609958672,0.6534070851901888,0.745
0.5,9,0.8189381854174655,0.662576653098104,0.755
0.5,10,0.8149456562499542,0.6623211621724419,0.745
0.5,11,0.8208960797605542,0.6735684607675244,0.77
0.5,12,0.821946203702732,0.673295815423626,0.76
0.5,13,0.8187481455302752,0.6613611268941537,0.74
0.5,14,0.8177684747280167,0.6554077278609923,0.76
0.5,15,0.8256652704133872,0.6516204194501025,0.715
0.5,16,0.8219337710431477,0.6520700641907774,0.725
0.5,17,0.8092803918896991,0.6777653017311602,0.735
0.5,18,0.8196275305258606,0.6685501728278924,0.79
0.5,19,0.8163337361897641,0.6481466943490088,0.74
0.5,20,0.8160504820875547,0.673569683143846,0.755
0.5,21,0.8156515906188545,0.6662152378083496,0.75
0.5,22,0.8106420692237015,0.6495663468437729,0.735
0.5,23,0.8244607856231656,0.6506968160142339,0.71
0.5,24,0.8275272696150683,0.6586092099510243,0.73
0.5,25,0.808759102275009,0.653486490217725,0.745
0.5,26,0.8243009112431784,0.6529457334046078,0.715
0.5,27,0.813471439453926,0.6735834686312271,0.74
0.5,28,0.8128367273925086,0.6656670929151983,0.775
